,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2018-04-04,39.295891251004,40.995183394314815,39.26967477906132,40.89985275268555,138422000,0.0,0.0
1,2018-04-05,41.13104634866081,41.524289915187964,41.01188119072749,41.18347930908203,107732800,0.0,0.0
2,2018-04-06,40.747329038033364,41.10720645849522,40.08715313161209,40.13005447387695,140021200,0.0,0.0
3,2018-04-09,40.48754520580875,41.25258329394272,40.480395589032256,40.52806091308594,116070800,0.0,0.0
4,2018-04-10,41.23113170365062,41.46946194471219,40.88078595835965,41.290714263916016,113634400,0.0,0.0
5,2018-04-11,41.04762436303591,41.45040313043017,40.921309601698624,41.09767532348633,89726400,0.0,0.0
6,2018-04-12,41.32885803470066,41.70780233743199,41.240673351134774,41.502838134765625,91557200,0.0,0.0
7,2018-04-13,41.65536130124774,41.90799078740204,41.43371591168517,41.6434440612793,100497200,0.0,0.0
8,2018-04-16,41.71494581470246,41.9914097937188,41.667280489231324,41.903228759765625,86313600,0.0,0.0
9,2018-04-17,42.06291390814928,42.64682238739248,42.043847048681826,42.4799919128418,106421600,0.0,0.0
10,2018-04-18,42.377509195553145,42.61822512108071,42.155863766663636,42.38465881347656,83018000,0.0,0.0
11,2018-04-19,41.41227437580008,41.80075395438495,41.15011321032598,41.18347930908203,139235200,0.0,0.0
12,2018-04-20,40.65915451820554,40.80691815459699,39.426983549278965,39.49610137939453,261964400,0.0,0.0
13,2018-04-23,39.76064289843512,39.78209175184136,39.107616591669434,39.38169860839844,146062000,0.0,0.0
14,2018-04-24,39.48418260782525,39.64148148755352,38.423613439897316,38.83354187011719,134768000,0.0,0.0
15,2018-04-25,38.75727048963324,39.424596027126796,38.707223165384406,39.002750396728516,113528400,0.0,0.0
16,2018-04-26,39.114764912780736,39.49847681417562,38.93601720039116,39.13859939575195,111852000,0.0,0.0
17,2018-04-27,39.08616891230559,39.1648183471225,38.282996970939514,38.68577575683594,142623200,0.0,0.0
18,2018-04-30,38.64048058896236,39.86311217175873,38.571362787116946,39.386451721191406,169709600,0.0,0.0
19,2018-05-01,39.66054573268237,40.32548566347658,39.38884933863514,40.30165481567383,214277600,0.0,0.0
20,2018-05-02,41.76261251613387,42.363205819425545,41.4218019729868,42.08197784423828,266157600,0.0,0.0
21,2018-05-03,41.91753280162102,42.30362670984225,41.57433660025476,42.15824508666992,136272800,0.0,0.0
22,2018-05-04,42.48237245904393,43.91235414069478,42.46330560022614,43.812255859375,224805200,0.0,0.0
23,2018-05-07,44.13400211616933,44.72744585766996,44.03152183528881,44.12923812866211,169805600,0.0,0.0
24,2018-05-08,44.08872482641335,44.38187008593461,43.774127075409545,44.34135437011719,113611200,0.0,0.0
25,2018-05-09,44.4605136968083,44.66309224934599,44.14353399346313,44.653560638427734,92844800,0.0,0.0
26,2018-05-10,44.7441291710836,45.370935349909445,44.72267668151883,45.29228591918945,111957200,0.0,0.0
27,2018-05-11,45.33535220004485,45.471722405799156,44.84728157260234,45.120025634765625,104848800,0.1825,0.0
28,2018-05-14,45.22050979722866,45.34492045793883,44.94537455690229,45.01475524902344,83115200,0.0,0.0
29,2018-05-15,44.68697665452358,44.75636098454411,44.28503964856442,44.60563278198242,94780800,0.0,0.0
30,2018-05-16,44.51711441355787,45.08892003557799,44.50036521197052,45.02192687988281,76732400,0.0,0.0
31,2018-05-17,44.97886503956848,45.196582762459606,44.58649636290906,44.73722457885742,69176000,0.0,0.0
32,2018-05-18,44.785072084034404,44.93340546537342,44.53146843826608,44.57453155517578,73190800,0.0,0.0
33,2018-05-21,44.97886759831237,45.282715226079986,44.71808674211754,44.89034652709961,73603200,0.0,0.0
34,2018-05-22,45.06978897883756,45.18941364125031,44.68698859885476,44.77790451049805,60962800,0.0,0.0
35,2018-05-23,44.58410129641351,45.098485747864956,44.44294145777195,45.06499099731445,80233600,0.0,0.0
36,2018-05-24,45.16309230048141,45.17983785348113,44.550614664146245,45.01475524902344,92936000,0.0,0.0
37,2018-05-25,45.033887488364726,45.373621001755076,44.895122478559536,45.11762619018555,69844000,0.0,0.0
38,2018-05-29,44.88316511975306,45.158300323715345,44.708510521818134,44.95493698120117,90056400,0.0,0.0
39,2018-05-30,44.91187662099116,44.9788661295573,44.68698170623867,44.8592414855957,74762000,0.0,0.0
40,2018-05-31,44.79225388183222,45.033894358674864,44.53386420180857,44.70851516723633,109931200,0.0,0.0
41,2018-06-01,44.9764786393261,45.5195719389783,44.91905749127998,45.51478958129883,93770000,0.0,0.0
42,2018-06-04,45.84973324396319,46.27559668304307,45.78035255697678,45.89519119262695,105064800,0.0,0.0
43,2018-06-05,46.19186533979603,46.400011068158285,46.021996725960896,46.24928283691406,86264000,0.0,0.0
44,2018-06-06,46.3258413546124,46.43350280536196,45.91672346097873,46.409576416015625,83734400,0.0,0.0
45,2018-06-07,46.44786310972099,46.46221748489994,46.01721360107788,46.28517532348633,85388800,0.0,0.0
46,2018-06-08,45.73728052088668,45.93585784443851,45.40233301769924,45.86408233642578,106627200,0.0,0.0
47,2018-06-11,45.78035271682783,45.928686107171174,45.50760867454731,45.75164031982422,73234000,0.0,0.0
48,2018-06-12,45.78992167053473,46.08180609768404,45.73250052644399,46.00285339355469,67644400,0.0,0.0
